panel_id,row,column,core_24,status,title,claim,plot_and_required_data,existing_evidence_and_next_experiment,work_packages,snapshot_data_keys,publication_matrix_accepted,specification,standalone_pdf,caption_file
F1a,1,a,True,E,Response lengths,Token balancing: observed weights,四个 cap512 固定批次的 response 长度散点；× 标截断，颜色为任务域,新图已生成；是受 cap 限制的诊断长度，不代表自然长度或线上完整分布,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F1b,1,b,True,E,Domain token shares,Token balancing: observed weights,同四批次各域有效 token 份额；25% prompt-share 虚线,新图已生成；token share 不等于 DR 的域损失系数；旧线上 token 轨迹保留在历史预览,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F1c,1,c,True,E,Response loss weights,Token balancing: observed weights,quota1/2/3/4、uniform 域先验下每条 response 的 DR/DT/GT 系数,新图已生成；prompt-share 对照也已落盘，完整权重见 responses.csv，不额外占用图槽,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2a,2,a,True,E,Length-gradient covariance,Token balancing: local mechanism,x=长度–梯度修正量，y=七组探针，任务域用不同颜色和微小纵向偏移区分,独立导出F2a；横向散点避免长条件标签斜排，无类别连接线；零值保留,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2b,2,b,True,E,Gradient norm / direction,Token balancing: local mechanism,七行探针 × 三对 reduction 的 raw-gradient cosine 热图,原3×3单批次设计改为全部七批比较；每分支范数和 clip coefficient 在 branches.csv,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2c,2,c,True,E,Held-out KL change,Token balancing: local mechanism,七行探针 × zero/DR/DT/GT 的宏平均 held-out KL 下降热图，单位1e-3 nats,原单批次四域热图改为全批次宏平均视图；四域原始值完整保存在 heldout.csv；不能替代 benchmark accuracy,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F3a,3,a,True,N,Per-domain capability,Token balancing: online outcomes,三 reduction × 四域的真实能力变化热图，250/500 分面,本批探针不提供新能力点；只接入其他节点已有训练的核验评测，方法标签保留切换历史,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F3b,3,b,True,N,Macro score vs tokens,Token balancing: online outcomes,累计 generated tokens 对四域 macro，按真实检查点标点,使用已有运行的评估与去重 token 日志；不恢复新增种子，不画训练置信区间,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F3c,3,c,True,N,Worst-domain change,Token balancing: online outcomes,updates 对 worst-domain change，并记录最差域和截断率,与 F3a 复用同一评估，不另跑模型；不能用局部 KL 填空,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F4a,4,a,True,P,Cumulative BF16 changes,Update sparsity: cumulative changes,相对初始化的累计有效变化比例及 exact nonzero，按检查点/暴露作图,沿用已核验扫描，后续接入已有250/500扫描；本批局部写回不能填成累计变化,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F4b,4,b,True,P,Update energy concentration,Update sparsity: cumulative changes,累计 delta 的能量集中度、energy90 与总 L2,旧日志有top1/5/10%离散点；没有连续扫描时不插值为实测全曲线,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
