panel_id,row,column,core_24,status,title,reviewer_question,suggested_placement,claim,plot_and_required_data,existing_evidence_and_next_experiment,work_packages,snapshot_data_keys,publication_matrix_accepted,specification,standalone_pdf,caption_file
F1a,1,a,True,E,Response lengths,诊断批次中的长度差异有多大，512-token上限影响了哪些观测？,appendix,Token balancing: observed weights,八个domain/response行 × 四个checkpoint/bank列，逐条标出长度；不再抖动散点,512-token值对应截断，caption限定局部cap512样本；补充诊断,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F1b,1,b,True,E,Domain token shares,相同prompt配额下，各任务的token份额偏离了多少？,appendix,Token balancing: observed weights,四域 × 四bank的token share减25% prompt share，单位百分点，正负色标以0为中心,重复数值仍各占一格，不再覆盖Math/Science曲线；补充诊断,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F1c,1,c,True,E,Response loss weights,DR、DT、GT究竟怎样改变同一批回答的训练权重？,main,Token balancing: observed weights,十条response × DR/DT/GT权重百分比矩阵，域分组、规则全称直接标出,正文候选；同一quota1/2/3/4、uniform先验bank；展示域内和域间权重区别,completed local probes,local responses + weights,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F1c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2a,2,a,True,E,Length-gradient covariance,长度加权造成的梯度修正主要出现在哪些任务？,appendix,Token balancing: local mechanism,七条件 × 四域的长度–梯度修正L2矩阵，保留零值，统一条件顺序,补充诊断；展示修正来源，代数恒等式不替代能力,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2a.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2b,2,b,True,E,Gradient norm / direction,只改平均方式，梯度方向是否也会改变？,main,Token balancing: local mechanism,七条件 × 三对reduction的原始梯度cosine矩阵，0–1固定尺度,正文候选；每行固定同一学生与响应，长回答方向差异直接可读,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2b.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F2c,2,c,True,E,Held-out KL change,局部KL改善是否超过仅沿用Adam历史的zero-gradient对照？,appendix,Token balancing: local mechanism,七条件 × DR/DT/GT，减去同job zero-gradient的macro KL下降，单位millinats,补充诊断；正值才超过zero；小heldout和GT数值差异禁止规则排名,completed local probes,local covariance + gradient comparisons + heldout,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,figures/local_probe_results_20260908/F2c.pdf,local_probe_results_20260908/FIGURE_CAPTIONS.md
F3a,3,a,True,N,Per-domain capability,,,Token balancing: online outcomes,三 reduction × 四域的真实能力变化热图，250/500 分面,本批探针不提供新能力点；只接入其他节点已有训练的核验评测，方法标签保留切换历史,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F3b,3,b,True,N,Macro score vs tokens,,,Token balancing: online outcomes,累计 generated tokens 对四域 macro，按真实检查点标点,使用已有运行的评估与去重 token 日志；不恢复新增种子，不画训练置信区间,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F3c,3,c,True,N,Worst-domain change,,,Token balancing: online outcomes,updates 对 worst-domain change，并记录最差域和截断率,与 F3a 复用同一评估，不另跑模型；不能用局部 KL 填空,existing evaluations,existing evaluations: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
F4a,4,a,True,P,Cumulative BF16 changes,,,Update sparsity: cumulative changes,相对初始化的累计有效变化比例及 exact nonzero，按检查点/暴露作图,沿用已核验扫描，后续接入已有250/500扫描；本批局部写回不能填成累计变化,existing scans,existing cumulative scans: not refreshed,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md,,
