panel_id,row,column,core_24,status,title,claim,plot_and_required_data,existing_evidence_and_next_experiment,work_packages,snapshot_data_keys,publication_matrix_accepted,specification
F1a,1,a,True,E,Response lengths,Token balancing: observed weights,四域 response mean length 对 optimizer step 的曲线；每个点为一个训练 batch 的域内均值，附截断率。需要分布时另存逐 response 长度，不能由均值伪造 violin,"M-PG 500 步的 `metrics/rollout.jsonl: mopd/task/*/mean_response_length,truncation_rate` 可画。补最终 TopK 三 reduction 同口径曲线",W4,rollout_domain_metrics + normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F1b,1,b,True,E,Domain token shares,Token balancing: observed weights,四域有效 token share 对 step，25% prompt-share 参考线；按窗口汇总 token 数后再求比例,已有 M-PG 完整日志。图说明 GT 隐含域权重，并不称为 M-PG 实际 DR 权重。不能套用他文“IF 只占 1%”：本运行 IF 的 token share 在前50/后50更新分别为34.96%/31.23%,W4,rollout_domain_metrics + normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F1c,1,c,True,E,Response loss weights,Token balancing: observed weights,固定同 batch，x=每 response 有效长度，y=该 response 的总 loss 系数；DR/DT/GT 三符号、domain 四色,现有 `weights.json` 给出 8 个 response×3 reductions=24 点。补真实 4096 cap batch、不等 quota 的 uniform λ 与 prompt-share λ 两个控制；记录所有有效分母,W4,rollout_domain_metrics + normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F2a,2,a,True,E,Length-gradient covariance,Token balancing: local mechanism,"x=domain/checkpoint，y=‖Cov(T,g)‖/mean(T)；附分解相对残差。每个点由同域完整 response gradients 计算",当前 4 probes×4 domains=16 组；相同长度的 covariance=0 要保留。补 I64 早/中/晚及至少 4 独立 batch；残差仅作数值审计,W4,normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F2b,2,b,True,E,Gradient norm / direction,Token balancing: local mechanism,三 reduction 的 3×3 raw-gradient cosine 热图，旁注各自 pre-clip norm、clip coefficient,现有 4 个 probe；500 的 I64 是可直接画的探索版。补相同 loss/学生状态/优化器协议的时点，不把 raw-gradient cosine 写成更新 cosine,W4,normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F2c,2,c,True,E,Held-out KL change,Token balancing: local mechanism,行=zero-grad/DR/DT/GT，列=四域，颜色=`KL_before−KL_after`；公共 held-out bank 的全词表 reverse KL，正值代表该次局部下降,现有每 probe 4×4=16 单元格，macro 另存；预览使用 I64/500。每域现只有 1 held-out response；补更大 held-out bank、重复 batch 和评分重复性。不能据此代替 benchmark accuracy,W4,normalization_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F3a,3,a,True,N,Per-domain capability,Token balancing: online outcomes,三 reductions×四域的能力变化 heatmap；主视图 500，250 可另分面；每格 `score(t)−score(0)` pp，训练种子汇总,当前没有TopK的完整能力评估。优先完成三个Overlap64实验组的250/500四域评估；保持同一评估协议，报告其实际得分与变化，不预设归一化优劣,"W2,W3,W7",none: TopK capability missing,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F3b,3,b,True,N,Macro score vs tokens,Token balancing: online outcomes,x=累计 student generated tokens，y=四域 macro；三 reduction 点线与配对种子不确定性。每个能力 checkpoint 对应日志累计暴露,不用 mean surrogate 代替 capability。至少 0/250/500；可选补 100；不同方法按实际 tokens 标点，不按 64 responses 假定 tokens 相同,"W2,W3,W7",none: TopK capability missing,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F3c,3,c,True,N,Worst-domain change,Token balancing: online outcomes,x=updates，y=`min_d(score_d(t)−score_d(0))` pp；图旁/附表列当时最差 domain 和截断率,同 F3a 的评估即可计算，无需另跑模型。零参考线；不存在已证明的均衡优势时报告零/负结果。不要用“最低绝对分数”替代 worst-domain change,"W2,W3,W7",none: TopK capability missing,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F4a,4,a,True,P,Cumulative BF16 changes,Update sparsity: cumulative changes,x=0/1/50/100/250/500，y=BF16 有效累计变化参数比例；S-PG/S-I64/M-PG/M-I64-DR 四主系列，DT/GT 附加；另提供域内 responses/tokens 坐标版,PG点较全，已有早期扫描按其记录的方法标注。补Overlap64的250/500 checkpoint扫描。主图阈值 1e-5，另给 exact nonzero,"W2,W3,W7",bf16_scans + cumulative_measurements,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F4b,4,b,True,P,Update energy concentration,Update sparsity: cumulative changes,x=按累计 delta 绝对值排序的参数比例 ρ，y=累计 squared-L2 energy；各主系列比较，附 energy90 fraction 和总 L2,已有日志支持 ρ=1/5/10% 三点及 energy90；若要连续曲线，重新流式扫描 checkpoint。能量全为零的点记 undefined，不能画任意 concentration,"W2,W3,W7",bf16_scans + cumulative_measurements,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F4c,4,c,True,P,Layer-wise BF16 changes,Update sparsity: cumulative changes,行=方法/检查点，列=28 transformer layers＋embedding/head；颜色=逐层有效变化比例，配套保存逐层 L2/能量,21 个扫描报告有逐层数值；预览是六系列 ST64/PG 的 step100。补最终 I64 250/500 和不同 seeds；全模型比例必须按参数数加权，不能平均层百分比,"W2,W3,W7",bf16_scans + cumulative_measurements,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F5a,5,a,True,E,Teacher support overlap,Teacher influence in one student,同一个 joint checkpoint 的 4×4 BF16 proposed-step support Jaccard 热图；主阈值 1e-5，列明各教师 support 大小,M-PG/500 三 banks、routed/common 已有；探索主视图可先用 routed。补 0/250、最终 I64 joint 状态，另补可行的匹配选择数 support,W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F5b,5,b,True,E,Signed step alignment,Teacher influence in one student,x=同一教师对 Jaccard，y=两分支 signed BF16 update cosine，颜色=教师对，符号=routed/common,现有 6 pairs×3 banks×2 modes=36 点/阈值。补其它 checkpoint；共同位置≠同方向，低 overlap 也不默认更好,W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F5c,5,c,True,E,Zero-gradient control,Teacher influence in one student,各教师分支与 zero-gradient 分支的 overlap；并列同层匹配随机参照及 support counts，观察共享 Adam 状态影响,当前 zero-gradient 和 layer-random ratio-of-expectations 已有。随机参照必须标成“期望交/期望并之比”，不是实测 E[Jaccard]；需要 CI 时另采样随机 masks。补按层/权重幅度分箱参照,W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F6a,6,a,True,E,Teacher JS matrix,Teacher distribution distance,4×4 teacher–teacher JS 热图；同一冻结公共 prefix bank、四域等权、全词表、自然对数单位 nats,"M-PG/500 三 banks 的六对 JS 已有；不能用各域不同 prefixes 的 teacher KL 拼矩阵。JS 取值范围 [0,ln2]；teacher–student JS 单列辅助表",W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F6b,6,b,True,E,JS vs routed support distance,Teacher distribution distance,x=公共 bank teacher JS，y=routed BF16 `1−Jaccard`；六对不同颜色，显示原始 bank 点，主点为各对均值,当前有 18 routed 点，允许画不带回归显著性的探索散点。补同协议 0/250/500，用线连接同一教师对，而非把所有重复点当独立样本拟合,W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F6c,6,c,True,E,Same-prefix control,Teacher distribution distance,与 F6b 同尺度，但纵轴取完全相同 prefixes、相同 sampled actions 的 common 模式；与 routed 成对连线/比较,当前 18 common 点齐。测试去掉输入上下文差异后关联是否还存在；补幅度、zero-gradient 控制与 I64 状态。观察不到关联也是有效结果,W5,local_probes + teacher_pairs,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F7a,7,a,True,P,Local BF16 threshold curves,Supervision density: local controls,x=BF16 单步阈值 τ（exact 0、1e-8/1e-7/1e-6/1e-5），y=超过阈值的参数比例；PG/ST64/I64/full 和 zero-grad,已有 S/M-PG250 与 M-PG500 的 PG/ST64/full；缺 I64 loss 分支及 I64 学生状态。PG tokens 在同一 prefixes 重新采样；保持 prefix weights 不依赖本次 action,W5,local_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
F7b,7,b,True,P,Gradient and writeback scale,Supervision density: local controls,同一点并列 raw-gradient L2、BF16 proposed-step L2、有效变化比例；用分组点图或明确分开的坐标，避免把不同单位直接比大小,现有 5 probes 可提供 PG/ST64/full。补 I64 和更多 banks；保留小梯度但非零的 S-PG250 示例，以及相同 optimizer 的零梯度分支,W5,local_probes,False,EXPERIMENT_FIGURE_ROADMAP_20260908_zh.md
